iteration	action	metric_before	metric_after	delta	guard	result	notes
0	baseline	-	4	-	pass	baseline	ruff --select E,W,F,I,B,C4,UP,SIM,N,RUF
1	auto-fix (I001+UP015x2)	4	1	-3	pass	keep	3 violations fixed by ruff --fix
2	fix E501 (wrap comment)	1	0	-1	pass	keep	goal achieved
